StreamElements Inc.,0,Merchandise Sales
StreamElements Inc.,0,Donations
Keyframers,-723.84,Cumulative for Editing
JollyVG,-500,FF500 Award
Breast Cancer Research Foundation,-500,FF500 Award
Mental Health America,-25,FF500 Consolation
The Trevor Project,-25,FF500 Consolation
St. Jude Children's Hospital,-25,FF500 Consolation
